HHNR,gesl,f40120,f81300,A_X,A_Y,alter,f81400,noga_08,sprache,f40800_01,f41100_01,nation,f40920,WP,f41000a,f41000b,f41000c,A_BFS,f42100e,f41600_01a,f41600_01b,f41600_01c,f41001a,f41001b,f41001c,f20400a
228,1,5,3,2675799,1221429,63,0,7,4,4,1,5,100.0,1,1,13,11,5,2,1,2,1,2,2,11,5
229,2,5,3,2656222,1209006,74,0,7,2,2,2,9,100.0,3,1,32,32,2,3,2,1,2,22,3,2,2
230,1,4,1,2641092,1238616,18,87,3,1,4,3,1,100.0,1,1,11,11,3,3,1,2,1,2,3,11,5
231,1,2,1,2651259,1178504,28,91,85,1,4,2,1,100.0,0,2,22,3,5,3,1,1,2,22,1,11,7
232,1,4,2,2691686,1166508,60,93,7,3,-99,2,2,100.0,2,22,1,32,2,1,1,2,2,11,1,3,1
233,2,8,2,2677640,1220013,59,43,42,3,3,3,7,100.0,4,11,22,11,5,3,2,2,2,2,1,11,5
234,2,4,1,2602671,1174759,88,77,84,2,2,2,2,100.0,1,12,11,12,5,3,1,1,2,22,13,1,3
235,1,3,1,2612239,1156639,56,89,94,4,-99,3,9,100.0,5,22,1,2,9,1,1,1,2,1,32,32,2
236,2,5,3,2672417,1162961,75,0,53,2,1,2,1,100.0,6,3,32,22,7,1,2,2,1,2,32,2,8
237,2,6,3,2614896,1199815,19,0,47,1,2,3,1,100.0,9,22,32,2,2,3,2,2,1,22,32,22,4
238,2,3,2,2625255,1163937,11,12,8,4,2,2,8,100.0,5,32,12,32,1,1,1,2,1,22,13,11,8
239,2,8,3,2657073,1153748,74,0,9,1,3,1,1,100.0,3,13,22,2,1,1,1,2,2,32,32,1,8
240,2,2,2,2674962,1187470,66,69,62,4,2,1,3,100.0,6,1,2,13,5,1,2,2,1,13,32,22,9
241,2,3,3,2686900,1195495,82,0,52,1,4,2,1,100.0,4,22,1,12,2,3,1,2,2,1,3,22,7
242,2,4,1,2624726,1234284,87,96,4,1,1,3,2,100.0,0,11,11,13,5,1,2,1,1,1,32,3,1
243,1,3,2,2686317,1181408,61,34,10,2,3,1,7,100.0,3,2,11,13,8,1,1,1,1,13,22,32,4
244,1,7,2,2650912,1222502,53,0,93,3,4,1,1,100.0,7,12,2,13,8,1,2,1,2,11,22,32,2
245,2,9,3,2659441,1229808,87,0,13,1,2,2,5,100.0,9,3,11,22,9,3,2,1,1,2,12,3,7
246,1,6,2,2672238,1207730,70,74,8,4,5,1,6,100.0,1,11,1,3,6,2,2,1,2,3,22,2,2
247,1,7,3,2637742,1153381,69,0,90,1,3,2,8,100.0,9,11,2,11,9,1,1,1,1,22,11,3,4
248,2,1,3,2628632,1155175,51,0,50,3,5,2,7,100.0,6,12,13,2,3,1,1,2,2,2,12,22,9
249,1,4,3,2669162,1214993,35,0,60,2,3,3,1,100.0,4,22,2,13,2,2,1,2,1,32,3,22,6
250,2,3,2,2692408,1168692,88,92,93,1,5,1,5,100.0,5,3,32,1,4,2,1,1,2,3,22,11,3
251,2,1,1,2637402,1239207,78,23,61,2,1,2,6,100.0,6,13,13,3,6,3,2,2,1,2,13,3,8
252,2,4,1,2603733,1174225,50,70,50,1,4,2,0,100.0,9,3,22,13,2,1,1,2,1,32,13,13,7
253,2,3,3,2633402,1191130,21,0,66,2,-99,3,1,100.0,2,11,2,2,0,1,1,1,1,13,12,12,5
254,2,1,1,2663887,1214803,59,8,65,4,2,2,0,100.0,9,11,12,3,5,1,1,1,2,22,11,3,3
255,2,1,1,2638166,1178244,69,62,67,3,3,3,7,100.0,2,11,13,3,1,2,2,2,2,13,13,12,3
256,2,4,3,2667455,1171538,61,0,8,3,5,2,8,100.0,7,11,11,2,8,1,1,1,2,11,32,32,3
257,1,3,3,2694273,1165224,18,0,50,1,5,1,1,100.0,1,3,3,1,7,2,1,2,1,3,2,1,8
258,1,9,2,2675551,1178301,55,74,66,2,5,2,1,100.0,2,13,13,12,2,1,2,2,1,22,2,2,4
259,1,2,3,2622518,1168796,22,0,56,3,-99,1,6,100.0,3,13,2,12,8,3,2,2,2,2,13,13,6
260,2,1,3,2657495,1169239,35,0,42,3,3,3,2,100.0,2,3,13,2,2,3,2,1,2,1,2,12,4
261,2,9,2,2617779,1198510,11,82,88,1,4,1,4,100.0,7,3,13,2,4,2,1,1,2,32,2,32,0
262,2,6,1,2640361,1206644,43,98,55,3,2,1,4,100.0,8,32,2,2,6,3,2,2,2,1,32,32,4
263,1,3,3,2645848,1206889,16,0,97,1,1,2,9,100.0,5,2,11,12,0,2,2,1,1,1,13,3,4
264,1,5,1,2625703,1230966,46,23,46,1,5,1,8,100.0,6,13,12,11,8,3,1,1,2,22,2,11,7
265,2,5,1,2687121,1194632,87,90,97,3,1,2,1,100.0,6,1,13,22,6,2,1,2,1,3,32,22,7
266,2,8,3,2693816,1152072,78,0,43,2,5,3,3,100.0,5,32,1,1,9,3,1,2,1,12,1,11,3
267,1,7,1,2638629,1162443,63,27,8,1,2,1,5,100.0,0,13,22,2,0,1,2,2,1,3,3,3,1
268,2,4,1,2651444,1177356,84,33,64,3,2,2,4,100.0,8,1,13,22,8,2,2,1,2,12,1,13,7
269,2,7,2,2651606,1158656,79,1,93,2,-99,1,9,100.0,8,22,13,3,9,2,2,1,2,3,3,22,7
270,1,9,2,2640219,1179904,67,56,65,4,4,1,7,100.0,1,11,12,13,8,1,2,1,2,11,11,12,8
271,2,4,1,2688255,1196032,79,5,47,3,4,2,5,100.0,5,22,2,3,2,2,2,1,1,11,3,3,1
272,2,7,1,2655936,1203979,76,39,46,1,3,1,8,100.0,3,1,3,22,6,1,1,1,1,11,12,22,1
273,2,2,1,2659915,1218828,42,34,10,2,-99,3,0,100.0,2,22,32,11,8,2,2,1,2,11,1,12,5
274,2,6,1,2679601,1185298,14,67,55,3,4,1,9,100.0,0,13,12,3,6,3,2,2,2,12,32,13,9
275,2,5,2,2698639,1160724,11,52,69,1,3,1,2,100.0,2,1,3,22,9,3,2,1,2,12,12,32,5
276,1,8,2,2684896,1218025,58,87,7,4,5,2,8,100.0,6,1,11,1,5,3,2,2,1,1,3,3,1
277,1,5,1,2609646,1238381,57,32,67,3,-99,3,3,100.0,9,22,22,22,1,2,1,2,2,32,13,12,3
278,2,6,1,2609386,1227233,28,23,89,2,3,3,2,100.0,4,13,2,1,7,2,1,2,1,11,11,12,0
279,2,1,2,2607947,1168785,32,3,89,1,2,1,9,100.0,5,2,2,3,9,1,2,1,1,12,13,1,1
280,1,2,3,2676725,1194097,36,0,91,1,3,2,4,100.0,8,13,11,22,7,3,1,1,2,12,32,32,7
281,1,2,1,2684293,1184059,23,40,98,3,3,2,2,100.0,8,13,32,12,1,2,2,1,2,13,11,32,6
282,2,8,2,2607036,1223425,60,3,5,1,-99,3,6,100.0,4,3,22,11,8,2,1,2,2,22,11,3,3
283,1,5,3,2638446,1242171,41,0,63,3,-99,2,2,100.0,3,11,22,13,2,2,2,2,2,1,3,22,9
284,2,2,1,2609472,1234624,19,85,96,3,3,3,4,100.0,1,1,1,3,2,3,1,2,1,3,13,11,0
285,2,5,3,2652639,1212402,32,0,98,4,-99,3,6,100.0,8,13,11,32,2,2,2,1,2,11,3,2,9
286,2,8,1,2654861,1153087,24,33,42,3,4,1,6,100.0,3,1,22,32,2,1,1,2,2,1,13,2,3
287,2,4,3,2644013,1185798,43,0,65,3,1,3,3,100.0,1,3,22,2,1,2,2,1,2,11,2,32,1
288,1,9,2,2607597,1157400,85,41,58,1,2,3,2,100.0,5,11,12,11,6,1,2,1,2,3,11,1,4
289,2,8,3,2610618,1244166,70,0,59,4,5,2,1,100.0,2,12,13,32,1,2,2,2,1,2,13,13,5
290,2,1,3,2667372,1236426,42,0,6,1,4,3,1,100.0,5,3,12,1,8,3,2,2,2,2,2,2,8
291,2,8,3,2651982,1236173,74,0,51,4,1,1,0,100.0,5,3,12,11,9,2,2,1,2,11,11,12,1
292,1,3,1,2608978,1170855,24,15,1,3,5,1,9,100.0,7,22,2,13,2,1,2,2,2,13,13,12,8
293,1,8,2,2679761,1246428,10,95,53,4,4,2,9,100.0,6,3,3,3,7,3,1,2,2,13,1,22,5
294,2,5,2,2673263,1218559,34,66,85,3,1,3,2,100.0,6,2,11,3,0,1,2,1,2,32,12,11,0
295,2,8,3,2606132,1234331,40,0,53,3,4,3,4,100.0,0,32,11,22,7,1,2,1,1,12,13,12,4
296,2,1,3,2631370,1162021,23,0,84,4,-99,3,5,100.0,7,12,11,13,3,2,2,1,1,3,12,2,3
297,1,7,1,2691753,1180039,40,5,41,1,3,1,9,100.0,6,1,1,13,8,1,1,2,2,22,22,3,5
298,1,4,3,2692318,1182135,21,0,55,2,-99,2,2,100.0,0,13,1,1,9,3,2,2,2,1,1,22,4
299,2,9,3,2631894,1230465,10,0,63,1,4,2,1,100.0,6,22,1,2,1,2,1,1,2,3,3,3,7
300,2,4,3,2601675,1215732,28,0,5,1,-99,3,0,100.0,1,32,1,3,8,3,2,1,1,22,2,22,4
301,2,9,3,2617660,1194632,36,0,50,2,3,3,7,100.0,9,13,22,11,2,2,1,1,1,1,3,3,4
302,2,2,3,2600168,1166385,22,0,69,1,3,2,4,100.0,8,12,1,22,7,3,1,2,1,12,1,13,0
303,2,1,3,2695727,1170399,88,0,66,3,3,3,1,100.0,6,12,11,11,8,3,1,2,2,32,32,3,1
304,1,3,1,2618949,1207537,70,91,89,3,3,1,2,100.0,8,1,22,22,1,3,2,2,1,22,3,1,2
305,2,6,3,2674780,1241492,35,0,7,3,3,3,5,100.0,9,11,32,1,1,3,1,2,2,13,1,22,2
306,2,9,3,2671613,1209177,78,0,14,1,3,2,1,100.0,4,22,22,22,9,2,1,2,2,12,1,11,5
307,2,6,1,2698491,1240978,34,87,2,4,5,1,3,100.0,1,22,13,11,7,2,2,2,1,1,12,2,6
308,2,7,3,2614299,1220183,57,0,6,3,4,3,8,100.0,9,12,22,13,8,2,1,2,2,13,12,13,0
309,2,3,1,2624001,1190919,66,77,55,4,1,3,4,100.0,3,12,1,12,6,3,1,1,1,22,32,12,1
310,2,9,1,2608046,1249163,54,12,90,1,2,1,9,100.0,4,2,11,11,6,2,2,2,2,3,2,11,3
311,1,7,1,2663460,1217200,45,97,4,1,-99,3,7,100.0,3,12,32,11,8,3,2,2,2,1,3,22,9
312,1,2,2,2668703,1157336,14,59,68,1,4,3,2,100.0,5,32,11,3,6,1,1,2,2,12,3,11,5
313,2,3,2,2664702,1235393,74,62,43,3,2,3,3,100.0,6,22,13,13,3,2,2,2,1,1,3,13,5
314,2,3,1,2673219,1233241,53,61,51,4,1,1,2,100.0,8,32,22,3,8,2,1,1,2,11,3,2,2
315,2,9,2,2653854,1246016,47,55,12,1,-99,3,4,100.0,5,11,3,12,8,3,2,2,1,22,12,22,2
316,1,1,3,2656255,1227647,78,0,10,3,3,3,9,100.0,9,11,22,1,0,2,2,1,2,12,22,3,3
317,2,4,3,2665373,1163711,74,0,92,4,5,1,9,100.0,2,2,12,13,6,3,2,2,2,2,3,11,5
318,1,2,1,2613609,1191802,65,39,4,4,3,2,0,100.0,9,22,13,13,6,2,1,2,1,32,12,3,7
319,2,4,2,2614355,1175782,65,59,56,3,3,3,3,100.0,2,22,1,32,1,1,1,1,2,3,2,11,9
320,2,3,3,2676547,1157723,18,0,84,3,-99,3,5,100.0,4,3,11,1,5,3,2,1,1,13,12,22,5
321,2,3,2,2644265,1223404,58,19,62,4,-99,1,7,100.0,4,12,32,3,5,3,1,1,2,22,11,22,0
322,2,1,3,2631997,1193998,58,0,13,4,1,3,9,100.0,2,13,3,3,6,3,2,2,2,1,32,11,1
323,1,1,2,2612578,1214573,19,60,68,1,4,3,3,100.0,5,32,32,11,2,2,1,1,1,2,13,1,1
324,2,7,1,2628533,1181496,72,7,10,1,4,3,1,100.0,2,11,11,13,6,1,1,2,1,3,2,3,0
325,1,2,2,2670536,1242551,23,3,7,4,1,1,1,100.0,7,1,1,11,2,3,2,2,1,2,32,1,2
326,1,6,1,2629581,1197973,39,21,99,2,4,3,3,100.0,9,13,3,12,6,3,2,1,2,2,32,3,2
327,2,6,3,2621472,1246236,52,0,69,1,4,3,0,100.0,6,32,3,3,2,2,2,1,1,13,32,32,4
328,2,3,3,2636905,1223356,11,0,85,2,1,3,8,100.0,6,22,13,3,9,1,2,1,1,13,3,12,2
329,1,1,3,2606923,1194462,53,0,43,3,1,2,7,100.0,0,12,12,11,3,3,1,2,1,22,3,32,6
330,1,8,1,2689080,1236423,61,88,67,2,4,1,3,100.0,1,11,11,2,4,2,2,2,2,1,3,32,6
331,2,3,1,2660455,1184581,53,61,84,4,4,1,3,100.0,9,32,13,32,4,2,1,1,1,12,12,32,9
332,1,8,2,2617674,1248393,76,97,43,3,-99,2,4,100.0,2,12,22,12,3,3,1,2,2,13,12,1,5
333,2,3,2,2665323,1167828,39,55,96,2,1,3,9,100.0,2,2,1,12,5,3,2,1,1,13,2,11,5
334,1,7,3,2633847,1154091,10,0,55,4,5,3,2,100.0,4,11,22,22,2,2,1,1,1,3,12,3,0
335,1,3,1,2618031,1172716,87,54,64,3,1,2,7,100.0,1,11,2,11,3,3,2,2,2,1,32,3,2
336,1,9,3,2685729,1172230,76,0,2,2,5,3,3,100.0,8,2,3,2,2,1,1,1,1,32,1,12,1
337,2,3,3,2640144,1234563,71,0,99,3,2,1,1,100.0,4,1,12,3,7,1,2,2,1,32,3,2,7
338,2,1,2,2646544,1238209,75,58,86,1,4,1,8,100.0,3,2,11,13,9,2,1,2,2,32,1,1,1
339,1,1,1,2645638,1221089,40,56,61,3,-99,3,5,100.0,3,32,22,3,4,3,1,2,1,12,13,22,1
340,1,1,2,2606088,1156125,14,2,8,3,3,1,0,100.0,2,1,22,12,7,1,1,2,2,12,32,22,4
341,1,4,1,2627004,1208096,82,66,91,4,3,2,8,100.0,2,13,1,32,0,3,2,2,1,22,32,12,0
342,2,5,3,2638655,1168947,66,0,12,1,3,3,2,100.0,8,13,12,2,5,1,2,2,2,13,32,22,5
343,2,2,1,2624660,1245879,75,52,93,3,4,3,9,100.0,0,2,22,12,1,3,2,2,2,13,3,22,2
344,2,9,1,2652422,1179181,52,75,46,3,2,2,8,100.0,4,2,12,32,3,2,1,2,2,11,12,12,2
345,1,8,1,2685829,1204695,80,67,46,2,4,3,5,100.0,1,1,1,13,4,1,1,2,1,13,1,22,5
346,1,2,1,2675776,1201257,20,85,99,3,3,1,3,100.0,6,2,1,3,4,2,1,1,2,13,3,1,2
347,1,1,3,2689577,1166466,37,0,50,2,5,2,4,100.0,8,22,2,1,4,1,1,2,2,13,22,11,2
348,1,5,2,2692747,1182095,42,57,14,1,1,3,7,100.0,4,13,13,1,9,1,2,1,1,13,1,22,0
349,1,9,3,2686836,1233123,60,0,65,4,5,3,1,100.0,5,22,1,22,6,1,1,1,1,13,11,12,2
350,1,9,3,2682494,1167747,85,0,95,4,1,3,1,100.0,3,3,3,13,7,3,1,1,2,22,2,3,0
351,2,6,2,2619850,1162412,48,7,90,2,1,3,7,100.0,0,12,1,22,0,2,2,2,1,2,12,2,3
352,1,1,2,2618786,1220948,57,6,10,2,2,2,3,100.0,5,3,32,12,3,1,2,2,2,11,1,11,3
353,1,4,3,2604216,1235935,32,0,94,4,2,3,8,100.0,0,22,22,3,3,1,2,1,2,32,12,2,8
354,1,6,2,2677613,1205874,11,6,65,1,4,3,6,100.0,5,2,32,2,4,3,2,1,2,22,1,1,8
355,2,8,2,2698904,1184629,54,100,46,3,1,2,1,100.0,5,22,32,1,0,2,2,2,1,22,1,1,0
356,2,3,1,2657429,1205435,63,25,93,4,4,2,3,100.0,4,11,3,22,5,2,2,1,1,2,3,11,3
357,2,3,1,2640210,1216825,53,64,95,3,2,3,1,100.0,7,1,32,22,0,1,1,2,1,11,2,13,9
358,1,6,3,2607502,1237699,36,0,8,1,4,2,0,100.0,0,32,2,1,2,1,1,2,1,1,13,11,3
359,2,9,3,2645744,1240604,51,0,13,4,1,1,6,100.0,1,1,32,12,8,2,2,1,1,3,32,3,1
360,2,3,1,2618085,1204739,30,52,50,3,4,2,0,100.0,5,11,3,13,9,1,1,2,2,2,13,3,9
361,2,5,3,2686503,1172595,62,0,50,1,2,2,0,100.0,2,12,3,11,8,2,1,1,2,13,13,2,2
362,1,3,3,2634209,1176752,16,0,62,4,4,1,6,100.0,0,3,12,32,7,3,2,1,2,13,2,13,9
363,2,5,3,2605598,1204481,51,0,58,3,3,1,8,100.0,6,12,12,22,2,1,2,2,2,13,1,1,4
364,2,3,1,2614447,1171700,23,41,69,4,2,2,1,100.0,6,32,13,12,1,3,2,2,1,2,1,12,0
365,1,1,3,2684933,1224499,59,0,47,2,4,3,4,100.0,2,11,13,12,6,1,1,1,2,3,1,2,5
366,1,2,1,2662891,1229771,73,2,42,4,-99,2,6,100.0,1,1,32,3,0,3,2,1,1,2,11,22,7
367,2,3,1,2642461,1207949,47,63,59,4,3,1,3,100.0,7,12,13,32,7,1,1,1,2,3,32,1,8
368,1,2,3,2663720,1177541,19,0,82,3,5,2,9,100.0,7,22,32,13,6,1,2,2,1,1,11,11,7
369,2,9,1,2651618,1239214,58,1,6,2,4,1,7,100.0,6,13,13,12,5,1,1,1,2,32,1,12,3
370,2,3,3,2619222,1213515,42,0,94,1,-99,1,8,100.0,9,13,32,12,9,2,1,1,1,11,32,32,0
371,1,5,3,2659344,1182201,75,0,84,1,3,1,9,100.0,9,32,32,1,4,3,2,1,1,11,2,2,8
372,2,1,2,2639019,1203922,26,74,9,2,-99,3,2,100.0,5,12,13,1,4,3,2,1,1,3,22,22,2
373,2,5,1,2681081,1239426,88,17,9,3,1,2,0,100.0,8,3,3,2,0,1,1,1,1,11,3,12,7
374,2,2,3,2677069,1226697,47,0,11,4,4,3,7,100.0,6,3,12,22,7,1,1,2,2,2,11,32,4
375,1,9,1,2669073,1151942,52,100,98,1,5,2,8,100.0,2,11,1,2,4,3,1,2,2,11,11,32,8
376,1,6,2,2628307,1177110,54,89,61,2,5,2,9,100.0,6,13,2,1,3,3,2,2,1,13,22,13,1
377,1,9,2,2614469,1228896,21,67,94,4,1,1,5,100.0,9,32,22,12,8,3,2,1,2,11,13,1,8
378,2,5,3,2637184,1232090,10,0,11,3,3,1,7,100.0,9,11,1,12,3,3,1,1,1,1,2,11,1
379,2,2,1,2632588,1191492,62,59,5,1,4,2,5,100.0,2,1,13,11,2,2,2,2,1,13,3,13,3
380,1,4,3,2699304,1166400,10,0,92,3,3,1,8,100.0,2,22,11,22,0,3,2,1,1,2,11,12,6
381,1,9,3,2606475,1236581,87,0,4,2,1,1,6,100.0,3,13,13,32,4,1,2,1,1,13,32,3,9
382,1,6,1,2651284,1226542,17,7,46,2,1,3,0,100.0,8,22,32,32,7,3,1,1,1,32,11,3,4
383,2,8,3,2613481,1226647,48,0,45,1,-99,2,2,100.0,0,2,1,2,3,1,1,1,2,12,2,3,9
384,1,7,1,2664159,1172412,40,15,43,4,2,3,2,100.0,3,12,11,3,9,3,2,2,2,11,3,22,8
385,1,8,2,2604880,1162080,49,31,90,3,1,1,0,100.0,2,32,12,1,7,1,2,1,1,22,12,2,5
386,2,8,1,2624411,1208060,87,96,69,1,5,1,0,100.0,1,11,12,11,7,3,1,1,2,3,11,32,0
387,2,4,2,2683686,1222747,23,87,99,3,2,2,4,100.0,7,32,1,22,6,2,1,2,2,22,3,3,9
388,2,2,1,2665350,1164749,45,7,98,3,5,2,2,100.0,1,3,11,2,3,2,2,2,2,2,32,32,6
389,1,2,2,2609475,1232048,76,33,85,3,3,3,0,100.0,2,11,12,12,5,2,2,2,2,32,11,22,7
390,2,8,2,2670652,1244792,16,69,41,1,-99,2,4,100.0,5,22,1,13,9,1,1,2,1,12,11,32,8
391,1,3,2,2629507,1158063,83,36,86,1,4,3,9,100.0,3,22,12,2,5,2,1,2,1,22,2,22,4
392,1,7,2,2657732,1158922,26,36,89,3,1,3,3,100.0,9,3,2,11,0,3,2,1,2,32,11,11,3
393,2,4,3,2694303,1160708,53,0,92,3,4,1,6,100.0,4,32,13,12,5,1,2,2,2,32,12,22,9
394,2,7,2,2610976,1198848,29,12,60,2,4,2,1,100.0,8,13,12,2,9,3,1,2,1,22,32,13,4
395,2,5,1,2673657,1221920,45,36,53,1,3,1,4,100.0,3,1,12,11,3,2,1,1,1,22,2,3,3
396,2,8,2,2627574,1210993,45,73,35,1,1,1,8,100.0,9,1,32,13,2,1,2,1,2,1,12,2,4
397,2,4,3,2688314,1238259,31,0,84,1,2,2,1,100.0,2,22,1,12,5,1,1,1,1,11,2,1,9
398,2,8,2,2669949,1180724,40,63,9,1,5,1,2,100.0,8,12,11,13,6,1,2,2,2,2,22,12,4
399,1,6,1,2606113,1234034,83,93,96,2,4,3,3,100.0,7,12,32,12,1,3,1,1,2,12,1,11,7
400,2,9,1,2682483,1178861,70,40,53,1,4,3,2,100.0,5,32,11,32,3,1,2,1,1,1,3,3,5
401,1,4,1,2624942,1198031,63,83,4,1,2,1,6,100.0,4,22,12,11,3,1,1,2,1,11,12,3,4
402,2,9,1,2628000,1231444,35,22,13,4,3,2,2,100.0,4,11,13,2,3,1,1,2,2,32,32,12,6
403,2,5,2,2600363,1156111,43,97,63,4,1,2,8,100.0,1,1,1,32,5,2,2,2,2,13,32,32,5
404,2,3,2,2670199,1229176,35,53,63,2,4,2,5,100.0,1,32,3,22,0,3,1,1,2,32,12,12,1
405,1,2,3,2696247,1191801,51,0,85,2,-99,1,0,100.0,4,2,3,12,1,3,2,1,2,2,11,2,6
406,1,3,3,2605824,1222135,44,0,35,4,-99,1,8,100.0,7,3,11,12,0,1,2,2,1,1,22,32,0
407,2,7,3,2641381,1217845,89,0,63,4,5,3,6,100.0,7,2,3,1,0,2,2,2,2,13,2,11,9
408,1,5,3,2624476,1162827,62,0,60,4,5,1,2,100.0,6,1,13,32,8,2,1,2,2,1,11,12,8
409,2,2,3,2602062,1152582,86,0,66,1,3,3,5,100.0,6,2,2,1,1,3,1,1,1,2,3,1,3
410,2,6,2,2644170,1220946,73,6,47,2,2,1,1,100.0,1,2,11,1,9,1,1,2,2,1,13,1,8
411,2,8,1,2660460,1209145,35,24,56,1,4,2,6,100.0,8,32,1,12,6,1,2,1,1,3,32,32,8
412,1,2,2,2616293,1184538,58,41,1,2,5,3,9,100.0,5,2,1,11,9,1,2,1,1,13,11,2,6
413,2,4,1,2632623,1189799,42,63,98,1,1,1,0,100.0,6,3,32,13,9,2,2,1,1,3,32,2,0
414,2,1,1,2647372,1163288,21,27,69,2,4,3,2,100.0,0,13,3,1,3,1,1,2,1,12,32,1,8
415,2,4,3,2667959,1173220,57,0,91,2,2,2,0,100.0,4,2,12,2,9,3,1,1,1,11,2,2,3
416,2,4,3,2638532,1206344,24,0,45,3,3,3,1,100.0,9,1,13,32,7,3,2,2,2,12,1,3,2
417,1,7,2,2675028,1216281,43,24,89,1,5,3,2,100.0,0,2,3,1,3,3,1,2,2,12,13,32,2
418,1,7,3,2668341,1202201,87,0,2,2,4,2,6,100.0,8,12,11,32,4,2,2,1,2,22,2,3,2
419,1,5,3,2605749,1220126,16,0,55,1,2,1,5,100.0,3,11,1,32,2,3,1,1,2,12,2,32,4
420,2,8,3,2694656,1180266,56,0,13,1,4,2,9,100.0,6,11,22,13,2,2,1,2,2,3,3,22,3
421,2,2,3,2686214,1224832,19,0,5,4,4,1,3,100.0,7,11,3,22,8,2,1,2,1,32,3,32,5
422,2,3,3,2620865,1164906,61,0,5,2,1,2,1,100.0,4,2,22,32,0,2,1,1,1,1,2,13,3
423,2,6,2,2642400,1247831,54,23,68,4,2,2,8,100.0,2,2,12,11,8,3,2,1,2,12,11,22,0
424,1,6,1,2698060,1249776,78,55,1,1,4,3,7,100.0,8,12,3,12,9,2,2,1,1,22,32,2,0
425,2,8,1,2618142,1201953,28,83,7,4,1,2,2,100.0,1,32,3,32,7,1,2,2,2,32,32,32,5
426,2,8,3,2612605,1153768,45,0,96,3,3,3,6,100.0,2,12,3,1,5,1,1,1,2,22,3,32,0
427,1,6,3,2687997,1172534,34,0,96,3,1,2,8,100.0,4,11,12,22,0,1,2,1,1,22,13,2,8
428,1,2,1,2690995,1160583,76,16,89,3,1,2,7,100.0,9,1,11,13,0,2,1,2,2,2,1,13,3
429,1,1,2,2644498,1188309,22,41,93,4,-99,2,1,100.0,7,3,32,2,9,3,1,2,2,32,3,13,6
430,2,1,2,2630613,1190894,65,2,86,3,4,1,7,100.0,5,32,13,2,3,1,1,2,1,11,13,2,7
431,1,1,1,2644203,1224641,64,52,41,1,4,1,7,100.0,3,11,32,13,8,3,1,2,2,12,13,22,8
432,1,6,3,2698215,1157153,24,0,92,1,5,3,4,100.0,5,2,11,2,2,1,1,1,1,13,12,11,8
433,1,2,3,2618441,1199668,51,0,60,2,5,2,3,100.0,9,22,22,1,5,2,1,2,1,13,2,32,4
434,1,3,3,2613177,1169380,46,0,2,4,5,2,6,100.0,0,2,2,1,4,3,2,1,2,11,2,22,6
435,1,4,1,2609991,1221578,76,55,96,3,2,1,2,100.0,1,11,22,22,1,3,2,1,1,12,1,32,9
436,1,1,3,2644855,1165859,41,0,84,2,-99,3,8,100.0,1,12,2,22,7,1,2,2,1,1,22,2,5
437,2,7,2,2634318,1182699,30,37,86,2,5,1,9,100.0,2,2,11,12,2,1,1,2,2,12,2,11,7
438,1,6,1,2677420,1156765,63,50,85,2,3,2,9,100.0,7,22,1,13,5,2,2,2,2,1,32,2,1
439,1,2,3,2681738,1211265,59,0,68,1,2,3,1,100.0,7,11,12,1,5,3,1,1,1,13,12,11,0
440,2,8,2,2694786,1154894,30,61,96,2,1,1,9,100.0,1,1,13,12,7,1,1,2,2,32,2,22,5
441,1,4,1,2612815,1202156,64,55,11,3,1,2,1,100.0,4,12,12,1,3,2,2,2,1,1,12,32,3
442,2,3,3,2672590,1209130,36,0,5,4,-99,1,4,100.0,5,2,2,22,8,3,1,2,1,12,22,13,9
443,2,7,1,2602585,1191862,52,99,68,1,5,2,3,100.0,3,13,22,3,2,2,2,1,1,12,12,32,2
444,2,3,1,2672234,1201222,32,66,3,2,2,1,7,100.0,1,12,22,1,2,1,1,1,1,2,32,32,4
445,1,1,2,2627005,1193137,24,3,61,4,2,3,0,100.0,7,12,1,22,0,1,2,1,1,1,1,32,8
446,1,1,2,2603474,1162551,87,4,45,4,4,3,3,100.0,9,13,32,2,5,2,1,2,2,1,2,2,6
447,1,4,3,2684691,1248170,17,0,42,1,2,2,4,100.0,6,3,22,1,5,1,2,2,1,32,1,2,9
448,2,4,3,2603560,1241371,30,0,12,2,4,3,5,100.0,0,13,11,22,2,2,1,2,2,32,2,12,2
449,2,3,2,2608641,1219364,19,90,96,3,1,1,5,100.0,8,11,22,32,3,3,2,2,1,12,22,13,1
450,2,8,3,2604216,1233625,79,0,45,2,3,3,7,100.0,4,13,2,11,6,1,2,1,2,11,22,32,1
451,2,7,3,2604831,1179199,68,0,67,2,-99,1,2,100.0,8,11,11,11,3,2,1,2,1,32,32,12,1
452,2,2,2,2632177,1179556,76,29,93,3,1,1,8,100.0,2,12,2,11,8,2,2,2,1,11,2,13,0
453,2,9,2,2600883,1178451,69,94,89,3,4,1,6,100.0,7,1,32,3,5,2,2,1,2,2,12,12,3
454,2,5,1,2648226,1169548,53,58,90,1,3,3,9,100.0,7,1,2,13,2,1,1,2,1,12,3,22,1
455,1,3,2,2687597,1228752,89,57,1,1,5,3,5,100.0,3,32,22,1,2,3,2,1,1,2,22,1,3
456,2,7,1,2657243,1203911,18,44,89,1,2,3,7,100.0,8,1,13,3,5,2,1,1,1,2,11,12,1
457,1,6,1,2682008,1194811,43,57,98,3,3,2,3,100.0,8,13,2,11,3,3,1,2,2,1,32,32,8
