HHNR,gesl,HAUSB,f81300,A_X,A_Y,alter,f81400,noga_08,sprache,f40800_01,f41100_01,nation,f40900,f40901_02,f40903,WP,A_BFS,f42100e,f41610a,f41610b,f41610c,f41000a,f20400a,f41000b,f41000c,f41001a,f41001b,f41001c
220,1,14,1,2624519,1160719,79,10,13,4,1,2,0,1,0,1,7,9,1,1,2,2,32,7,13,22,22,3,2
221,2,18,3,2651567,1230929,10,0,84,2,3,1,4,7,8,2,1,1,2,2,1,1,1,3,22,2,1,32,13
222,1,11,3,2694779,1162534,35,0,86,1,2,2,5,9,6,2,9,6,2,1,2,1,13,4,13,12,11,3,22
223,2,18,2,2626830,1239715,82,79,84,2,2,1,4,1,4,7,6,5,3,2,1,1,32,9,12,1,1,13,12
224,2,4,2,2635159,1201923,41,22,45,1,4,1,0,0,6,3,5,5,1,2,1,2,2,4,13,13,12,13,1
225,2,19,1,2620385,1247907,85,18,50,1,-99,3,4,2,1,9,2,1,2,1,1,2,1,9,13,22,13,2,12
226,2,6,2,2665434,1163590,17,30,11,4,-99,3,0,6,6,3,2,8,1,2,1,2,3,3,11,12,22,13,11
227,2,11,1,2673093,1198162,69,95,6,3,4,2,6,5,4,8,4,4,2,2,1,2,1,6,12,3,3,11,2
228,1,9,3,2689157,1174734,23,0,43,3,-99,3,2,6,1,1,7,6,2,1,2,2,3,3,12,13,32,22,2
229,1,7,1,2621854,1229556,82,3,3,3,5,3,0,9,6,5,5,9,2,2,2,2,11,5,22,12,2,13,3
230,2,1,1,2650265,1172463,31,10,84,2,2,2,4,8,5,9,1,7,2,1,1,2,22,6,32,12,12,32,3
231,1,1,1,2607142,1163959,36,47,8,3,2,1,6,2,5,4,8,5,2,2,2,2,32,4,12,13,3,1,11
232,2,12,3,2638001,1179596,49,0,85,4,3,3,2,9,1,3,6,6,3,2,2,1,22,2,1,1,22,32,22
233,2,5,3,2677178,1246916,86,0,11,2,1,2,9,5,2,1,1,7,1,2,2,2,2,2,13,1,13,1,32
234,2,12,3,2669757,1212743,59,0,6,1,4,3,1,3,3,0,8,4,3,2,1,2,13,7,22,2,22,3,13
235,2,3,1,2664930,1222710,35,42,86,1,1,2,7,4,6,3,5,9,2,1,2,2,1,0,22,2,11,12,11
236,1,19,1,2605317,1222973,36,79,95,1,2,2,6,7,3,8,3,4,3,1,2,1,1,2,22,11,1,1,32
237,2,2,1,2683437,1156503,89,33,6,4,4,3,3,5,6,3,9,6,3,1,2,1,22,1,3,3,22,32,11
238,2,6,2,2653190,1169707,27,90,51,2,-99,3,4,4,6,0,4,5,3,2,2,2,3,6,22,1,12,22,11
239,1,2,2,2650452,1216483,10,8,96,4,1,3,3,5,2,1,8,3,1,2,1,2,2,4,12,32,11,32,1
240,2,18,1,2671184,1194232,41,5,14,1,-99,3,1,8,6,0,0,7,1,2,2,1,12,2,1,13,2,1,2
241,1,19,1,2653486,1206810,46,92,13,1,5,1,2,4,1,0,2,6,2,2,1,2,3,9,3,12,3,3,2
242,2,18,3,2653932,1247248,26,0,4,2,5,3,0,9,9,6,2,4,1,2,1,2,22,1,11,13,32,3,12
243,2,16,1,2666002,1195569,29,41,35,2,4,1,1,4,4,6,4,9,1,2,1,1,1,1,13,22,12,32,32
244,1,4,3,2679716,1220409,57,0,66,4,5,3,9,7,4,5,9,7,3,2,1,1,32,7,22,12,32,12,12
245,2,9,2,2694902,1241961,26,7,90,2,3,2,7,7,4,1,6,2,2,2,2,2,2,1,32,32,32,32,2
246,2,12,3,2685520,1220408,35,0,93,2,2,3,8,5,3,9,5,6,2,2,2,1,32,6,13,32,2,1,12
247,2,7,2,2642307,1229980,24,15,61,4,2,3,7,6,7,0,6,8,2,1,1,1,2,1,13,32,12,13,3
248,2,9,3,2629659,1187721,15,0,85,4,5,2,3,1,2,9,0,9,3,1,2,1,3,6,22,13,22,13,11
249,2,17,1,2682540,1193236,44,8,49,3,5,2,8,3,8,0,6,1,3,2,2,2,12,7,13,2,22,1,3
250,2,9,1,2699859,1227405,43,61,13,2,2,1,1,5,9,3,3,4,1,1,1,2,11,3,13,13,13,11,22
251,1,14,3,2655801,1165845,63,0,91,3,2,2,8,4,2,5,2,6,1,2,1,1,13,0,22,2,13,12,32
252,1,15,2,2669195,1208247,57,10,94,1,2,3,5,7,5,0,8,0,2,2,2,2,32,6,1,2,3,11,2
253,2,9,1,2642849,1199740,49,89,50,2,-99,2,7,4,5,3,8,9,1,2,1,2,3,7,2,3,32,32,32
254,2,14,3,2655507,1226494,53,0,69,4,1,3,9,7,8,1,1,1,3,1,2,2,1,3,13,12,13,32,22
255,1,8,3,2632157,1204517,12,0,43,2,3,3,1,8,4,0,1,9,1,2,1,2,22,8,11,2,22,13,12
256,1,19,1,2673414,1212011,39,82,1,1,3,1,1,5,2,0,6,4,2,1,1,1,32,5,32,12,12,2,32
257,2,18,3,2666034,1203264,31,0,53,4,5,2,9,8,8,2,1,5,3,2,1,1,3,4,13,13,32,3,32
258,2,10,2,2686756,1170653,81,27,63,1,1,2,1,9,3,1,2,0,1,2,1,1,22,7,12,3,1,11,1
259,2,15,3,2615455,1175854,87,0,94,1,1,1,2,4,9,4,8,9,2,2,1,2,22,1,1,2,22,1,13
260,2,15,2,2664197,1216304,14,21,46,1,3,2,9,3,0,8,3,5,2,1,1,2,3,8,22,22,1,3,2
261,2,13,3,2619545,1151798,30,0,49,4,-99,1,3,5,3,2,9,3,1,1,1,1,2,3,32,11,32,3,3
262,1,17,1,2678799,1233093,74,100,9,4,4,3,3,3,2,2,2,9,1,2,2,1,3,5,2,2,32,3,22
263,1,16,3,2626600,1207899,24,0,95,4,3,3,2,0,5,3,7,8,3,2,1,1,1,9,13,13,32,3,12
264,1,9,1,2648395,1189327,80,100,85,2,5,3,7,0,4,8,1,4,2,2,1,2,2,8,13,2,22,32,13
265,2,17,2,2665292,1150943,24,7,14,4,1,2,8,5,5,6,1,3,1,2,1,2,3,6,12,12,1,2,1
266,2,15,3,2658752,1221449,33,0,4,4,4,3,1,2,8,0,0,8,2,1,1,2,2,6,1,22,3,13,32
267,2,12,1,2637678,1181300,44,5,67,4,4,3,5,8,2,4,9,9,1,1,2,2,11,1,12,32,22,1,1
268,1,14,2,2635225,1209685,82,7,5,4,5,2,8,6,1,8,4,3,3,2,2,2,1,4,12,2,32,12,12
269,2,4,1,2612468,1194964,45,29,49,1,1,3,5,6,5,4,6,6,3,1,1,2,22,7,12,13,22,32,22
270,2,1,1,2681500,1229259,30,81,42,4,3,2,8,6,2,2,2,6,3,2,1,1,11,9,12,1,22,11,32
271,1,17,3,2690084,1211952,69,0,84,1,1,1,6,4,9,3,3,1,1,2,2,2,2,1,2,2,3,32,12
272,2,17,3,2656312,1234092,83,0,11,2,2,2,4,7,2,1,0,3,3,2,2,2,11,3,1,32,12,11,32
273,1,15,3,2621195,1205561,69,0,41,4,3,3,5,7,0,2,0,9,2,2,1,2,13,2,3,2,22,3,2
274,2,3,3,2674536,1150159,12,0,53,4,2,2,7,7,4,4,1,4,1,2,2,1,12,4,12,1,11,11,1
275,2,16,1,2676622,1213446,88,40,14,2,5,1,3,1,9,0,3,0,1,1,1,1,13,1,22,12,2,3,13
276,1,15,1,2610549,1220037,15,96,35,1,3,3,1,2,0,1,2,8,2,2,1,1,22,4,22,13,13,32,2
277,2,4,3,2663343,1194054,59,0,43,3,2,2,3,8,9,5,3,3,2,2,1,2,1,5,2,13,2,2,1
278,2,7,3,2625325,1211794,37,0,7,2,-99,1,9,2,8,6,8,0,3,1,2,2,3,8,13,13,22,11,13
279,2,13,2,2651450,1182367,34,59,35,3,4,3,6,9,9,9,6,1,1,1,2,2,3,2,13,13,11,2,1
280,1,9,2,2622266,1178123,81,47,53,2,3,3,4,0,7,4,8,1,2,1,2,1,12,4,1,13,3,12,3
281,1,11,3,2621630,1221917,50,0,56,2,3,2,5,4,9,7,4,5,3,1,2,1,3,7,22,3,1,1,22
282,2,5,3,2619013,1246343,64,0,68,3,1,2,7,4,4,3,2,0,3,2,1,1,2,3,13,11,1,1,32
283,1,15,2,2637706,1150288,40,2,10,1,5,3,7,0,6,2,6,7,1,2,2,2,12,8,13,1,2,13,12
284,1,10,2,2621356,1238842,80,49,58,3,5,1,1,6,4,1,9,3,1,1,2,1,32,1,11,2,11,3,11
285,1,12,2,2673499,1243230,10,43,69,3,3,1,6,9,8,0,7,4,3,1,1,1,22,1,13,3,32,1,22
286,2,12,3,2623727,1235524,83,0,7,1,5,1,3,1,6,0,5,7,2,2,2,2,11,5,11,3,13,1,32
287,2,4,3,2611606,1187928,74,0,10,4,4,3,4,1,0,1,4,1,1,2,2,2,13,3,22,11,11,11,13
288,2,19,2,2625534,1234654,11,95,8,2,4,3,1,9,0,1,9,8,3,1,2,2,3,0,11,32,13,13,12
289,2,9,1,2688579,1235320,71,82,8,2,-99,3,6,8,8,5,9,7,2,2,1,1,3,2,3,11,32,3,3
290,2,5,2,2663587,1177207,83,56,4,4,3,3,0,1,2,8,8,0,1,1,2,1,11,1,1,1,2,22,2
291,1,13,1,2622540,1230440,80,88,98,3,4,3,2,3,5,1,1,8,2,2,1,1,12,1,1,12,1,11,3
292,1,16,1,2677461,1186373,53,4,69,4,-99,3,7,3,5,0,8,4,1,1,1,1,2,9,22,12,13,11,11
293,2,16,1,2678408,1162019,62,32,53,3,1,3,1,1,6,2,1,0,1,2,1,2,3,5,11,22,3,1,13
294,1,12,2,2635300,1242514,74,4,58,4,4,3,6,7,3,1,6,7,2,1,1,2,13,6,12,11,13,3,11
295,1,1,1,2674812,1215444,86,42,46,1,1,1,3,3,8,9,7,8,3,1,2,1,12,8,2,13,11,2,11
296,2,8,3,2630748,1156837,69,0,87,1,4,2,0,2,3,6,0,1,1,1,2,1,13,7,3,22,11,12,2
297,2,11,1,2620497,1232424,30,56,35,4,5,3,1,1,3,4,6,9,3,1,1,1,22,4,3,12,3,12,2
298,2,2,2,2663461,1242692,25,69,58,2,3,1,8,3,7,5,6,5,3,1,2,1,13,3,11,3,22,3,2
299,1,3,3,2652159,1183317,55,0,88,2,5,2,3,4,6,7,3,3,2,1,2,2,2,0,1,11,13,11,32
300,1,8,1,2627280,1248767,40,0,89,4,5,3,3,3,5,2,9,3,2,1,1,1,11,9,2,12,2,3,11
301,2,8,1,2647779,1204051,23,75,91,4,2,1,8,3,3,9,4,8,2,2,1,2,11,1,1,13,11,12,3
302,1,8,2,2692742,1245388,71,31,41,2,5,2,7,1,8,0,5,6,2,1,2,2,3,4,1,3,2,3,12
303,2,3,1,2677759,1225919,35,47,41,2,-99,3,5,7,2,3,9,9,1,2,1,2,32,0,32,2,22,12,11
304,2,11,2,2616904,1170154,88,45,5,3,1,3,5,7,0,1,3,4,1,1,2,2,22,0,12,1,32,13,11
305,1,10,3,2605209,1163899,85,0,66,3,4,2,4,2,1,0,5,5,2,2,2,2,11,8,32,2,2,32,32
306,1,12,3,2659262,1170788,47,0,58,2,5,2,4,0,0,6,6,2,1,1,2,2,3,9,22,1,22,11,3
307,1,7,1,2630646,1205089,66,42,66,4,5,1,1,5,6,4,7,8,1,1,2,2,32,3,12,1,32,11,32
308,2,10,2,2674105,1151897,57,43,47,2,2,3,2,6,5,6,8,3,1,1,2,2,13,6,12,1,32,22,12
309,1,12,1,2621123,1154343,14,51,59,3,-99,2,9,8,7,6,9,4,2,2,2,1,3,7,22,32,2,22,11
310,1,5,3,2699826,1164602,13,0,4,2,5,2,7,0,0,4,0,2,2,2,2,2,22,5,22,1,3,13,2
311,2,5,3,2646532,1172975,72,0,58,1,4,1,7,7,3,0,3,2,1,2,1,1,3,2,2,11,12,32,12
312,1,7,3,2692354,1201628,50,0,92,4,5,1,5,7,6,1,3,0,2,1,2,1,3,3,11,11,3,13,2
313,1,5,1,2639689,1208609,27,41,88,4,2,3,5,6,8,8,0,0,2,1,1,1,13,0,3,13,12,3,13
314,1,19,1,2639415,1155817,70,96,88,2,-99,1,0,2,6,7,1,5,3,2,2,1,3,1,12,32,32,13,2
315,1,11,3,2642781,1201073,48,0,88,2,1,3,0,2,1,8,1,9,1,2,1,1,13,6,13,2,11,12,2
316,2,11,1,2634517,1186598,57,1,91,4,3,3,3,7,0,2,2,2,2,2,1,2,12,8,2,3,11,12,12
317,2,3,3,2626067,1198089,41,0,12,1,5,1,0,6,1,7,5,7,1,2,2,1,3,7,1,3,12,11,2
318,2,4,2,2681442,1155410,60,82,86,4,3,3,2,2,9,8,9,1,3,1,2,1,3,2,2,2,32,12,32
319,2,18,2,2606625,1232929,82,63,82,3,5,1,1,1,8,5,5,7,3,2,2,2,2,1,12,11,13,11,11
320,2,6,2,2658934,1197471,80,34,41,4,3,2,3,1,5,1,6,9,1,1,2,2,22,7,12,11,13,12,13
321,1,13,1,2612676,1179908,36,37,64,4,3,1,7,1,6,2,1,9,3,2,1,2,12,5,13,12,32,3,22
322,1,10,1,2609338,1171359,70,8,8,3,1,3,0,2,1,8,1,9,1,1,2,2,12,7,12,1,11,32,22
323,2,8,3,2636203,1154317,23,0,65,1,-99,2,9,3,8,9,5,6,1,1,1,2,12,7,1,32,1,12,12
324,2,13,1,2633285,1243745,51,44,56,1,2,2,6,1,0,8,9,1,1,1,2,1,3,5,3,3,32,22,11
325,1,1,1,2622375,1215101,88,52,11,3,2,3,5,6,4,5,5,4,2,2,1,2,12,1,1,13,1,11,11
326,1,2,3,2602620,1181145,39,0,46,2,1,1,9,0,1,1,0,0,3,2,2,2,2,1,12,22,13,11,2
327,2,8,3,2668070,1189971,55,0,2,4,-99,3,8,3,3,5,0,8,3,1,2,1,11,0,12,2,11,12,2
328,2,18,1,2677479,1153454,71,18,53,1,-99,1,4,5,3,8,9,5,1,2,1,1,12,5,22,22,32,3,1
329,1,2,2,2655055,1202288,68,49,35,2,-99,3,3,3,8,2,1,2,3,2,1,1,13,0,13,3,3,1,1
330,2,7,2,2628782,1193159,60,41,35,3,3,1,3,5,8,7,9,7,1,2,1,2,22,6,22,22,2,22,1
331,1,14,1,2635152,1241469,83,88,51,1,5,1,8,2,5,2,0,6,2,2,1,1,3,5,11,22,1,13,2
332,2,13,1,2668570,1238144,13,65,35,2,3,2,6,1,4,5,1,7,1,1,2,1,12,0,13,3,32,2,11
333,1,10,2,2690347,1239069,31,51,69,2,1,1,8,9,6,2,7,8,2,2,1,2,13,9,13,11,12,11,32
334,1,19,3,2692049,1243056,87,0,98,3,3,2,0,4,8,0,2,3,2,1,1,2,2,1,11,22,12,12,3
335,2,10,3,2686595,1232459,39,0,13,2,1,1,5,7,9,3,6,2,3,1,2,1,2,8,13,13,22,3,1
336,1,11,1,2615991,1159817,73,84,96,4,1,3,5,6,6,9,2,6,2,1,2,2,2,6,22,3,1,1,3
337,1,11,3,2634522,1154166,18,0,55,3,5,2,7,1,7,4,0,3,3,1,2,2,3,6,1,2,3,11,3
338,1,11,1,2654623,1226579,69,17,97,2,3,3,8,0,9,9,9,6,2,2,2,2,12,4,11,22,32,22,22
339,2,18,3,2608907,1182533,86,0,93,1,1,1,0,8,8,8,9,3,3,2,1,2,2,6,12,2,2,12,3
340,1,7,3,2687200,1180645,68,0,1,4,1,3,1,0,3,8,4,4,3,1,2,2,1,2,2,2,3,12,12
341,2,1,3,2611555,1237379,59,0,56,3,3,3,2,7,9,4,9,5,2,2,1,2,3,3,22,11,13,3,1
342,2,9,1,2614042,1195285,86,99,92,4,4,2,0,7,3,0,6,0,2,2,2,1,32,2,11,32,22,22,13
343,1,17,1,2631498,1234895,56,7,1,2,1,2,5,9,8,9,6,8,3,1,1,1,2,5,32,11,3,12,13
344,2,16,3,2612516,1208783,76,0,7,1,3,2,3,7,2,3,8,2,2,2,1,2,22,1,1,22,2,32,2
345,1,15,1,2625684,1221379,37,53,65,4,-99,2,2,3,7,8,9,7,2,1,2,1,2,9,2,11,22,13,22
346,1,18,3,2673414,1212895,64,0,91,4,1,1,1,7,5,5,6,7,1,2,2,2,32,1,32,13,13,1,22
347,1,8,1,2682041,1220957,88,62,4,4,4,2,6,5,2,5,2,6,1,1,2,1,1,6,12,1,13,22,1
348,1,4,3,2655624,1201399,73,0,6,4,3,2,9,4,8,8,0,2,2,1,1,2,1,3,13,13,13,12,3
349,1,2,1,2667383,1166918,66,53,69,1,3,2,4,9,6,5,8,9,3,1,2,2,1,9,12,2,13,2,13
350,2,12,1,2652542,1213995,75,13,7,2,5,2,1,3,4,2,2,1,2,1,1,2,1,3,1,32,1,3,1
351,1,2,3,2662526,1177918,75,0,91,1,4,3,1,5,9,1,3,4,2,2,1,1,3,7,2,3,32,11,22
352,2,18,2,2655419,1185883,15,2,93,3,3,1,3,7,6,8,4,1,1,2,1,1,13,2,22,1,32,3,11
353,2,1,1,2615903,1160128,26,1,59,2,2,2,2,5,9,9,9,4,2,1,2,2,13,8,1,3,32,3,1
354,2,17,3,2617010,1211508,69,0,94,2,5,2,6,2,0,2,6,6,1,2,1,1,13,5,2,13,2,11,11
355,1,6,2,2630139,1223294,89,6,64,2,4,1,8,1,8,1,7,1,1,2,2,1,13,5,12,3,32,22,1
356,2,3,1,2650990,1158835,72,10,12,2,5,1,4,1,6,6,2,7,1,2,1,1,2,8,12,11,3,22,22
357,1,11,2,2609502,1220080,22,10,7,4,5,2,7,3,2,1,1,9,3,2,2,1,11,5,22,22,12,32,3
358,2,7,2,2636360,1235295,80,92,7,4,3,3,9,8,7,2,1,9,3,2,2,1,32,3,2,32,13,22,13
359,2,19,3,2657576,1228047,33,0,91,2,5,2,3,1,6,6,5,1,2,1,1,1,3,8,13,2,22,2,13
360,2,6,1,2607168,1241710,67,14,97,4,3,2,9,8,9,3,0,4,3,1,1,2,12,0,3,11,13,3,1
361,2,5,1,2679016,1212007,12,18,99,4,5,1,0,6,0,9,4,5,2,2,2,1,2,9,11,11,3,13,12
362,2,3,3,2681456,1188029,38,0,53,3,2,1,1,9,9,3,0,5,2,1,1,1,2,8,13,13,3,1,22
363,1,3,3,2638170,1243714,53,0,3,1,-99,3,0,2,3,1,7,2,3,1,2,2,2,2,22,1,2,1,32
364,1,4,3,2680684,1225308,11,0,84,1,3,2,3,5,6,4,4,3,1,2,1,2,13,4,3,12,22,13,32
365,1,3,2,2616794,1165264,23,11,42,2,-99,3,3,7,4,9,2,4,2,2,1,1,12,9,32,3,12,11,22
366,1,3,1,2610740,1180057,41,65,84,3,4,1,2,4,1,3,2,3,2,1,1,1,12,4,22,12,32,2,1
367,1,7,2,2683195,1162504,61,75,43,4,3,1,4,7,6,9,9,1,3,2,1,1,12,9,12,1,11,32,3
368,2,18,2,2662130,1179856,19,85,41,1,4,1,9,2,9,9,4,0,1,2,1,2,12,6,1,12,32,2,2
369,1,14,2,2620019,1152780,70,75,64,3,4,3,3,4,6,0,8,8,1,2,2,2,3,8,11,1,22,13,13
370,1,18,1,2605071,1196689,53,42,7,1,3,1,5,5,2,7,0,1,2,1,2,1,22,2,1,12,1,3,12
371,1,13,3,2681511,1213971,14,0,85,4,-99,2,3,9,0,9,9,9,3,2,1,1,12,2,1,11,12,1,11
372,1,4,2,2679423,1154029,77,7,1,2,3,2,3,8,6,0,2,8,3,2,1,2,32,1,1,32,22,11,12
373,1,16,2,2689673,1151074,89,6,96,3,-99,3,7,3,2,3,9,4,2,2,2,1,11,3,12,22,13,22,2
374,1,11,1,2644325,1227350,46,10,50,3,2,1,2,2,1,2,5,2,1,2,1,2,2,2,13,13,22,2,13
375,1,2,2,2686733,1214555,27,75,60,4,2,2,3,6,9,1,2,8,2,2,2,1,1,0,2,22,2,32,13
376,1,15,2,2654023,1232871,74,46,41,4,5,2,1,4,1,0,9,6,3,1,2,1,22,3,32,3,1,22,12
377,2,9,2,2655659,1247314,47,51,62,1,2,3,1,5,9,5,9,7,3,2,2,1,12,5,3,13,12,11,11
378,1,15,2,2653813,1168404,54,29,55,3,4,3,1,7,6,5,0,1,3,1,1,1,1,6,2,22,32,12,2
379,2,6,2,2675178,1153173,57,31,98,1,3,2,8,3,1,4,2,3,1,1,2,1,1,8,22,12,3,32,12
380,1,15,3,2630188,1226654,67,0,46,4,1,1,4,1,6,0,8,9,2,2,1,1,32,7,3,3,11,32,12
381,1,8,1,2666855,1158448,77,83,10,1,3,3,3,3,1,0,3,3,1,1,2,1,22,0,3,32,13,22,11
382,1,10,2,2683974,1249466,24,3,42,3,5,3,9,7,4,1,9,9,2,1,1,2,11,7,22,1,32,22,1
383,1,8,1,2657053,1167560,89,94,12,1,3,2,3,9,8,7,1,6,1,2,2,2,22,5,3,2,32,22,12
384,2,16,2,2608626,1196500,27,66,87,2,5,3,5,5,5,7,5,7,2,1,2,1,22,5,1,32,11,22,1
385,1,1,2,2684637,1188577,25,83,5,2,4,2,1,6,8,2,5,0,3,2,1,1,12,0,2,2,13,1,3
386,1,11,1,2683671,1230344,44,81,6,3,2,1,3,4,5,3,2,2,2,2,2,1,3,0,12,12,2,22,22
387,1,19,3,2673850,1228488,63,0,10,4,1,3,4,9,3,4,8,6,3,2,2,2,22,3,13,12,3,32,22
388,1,9,1,2652877,1164578,79,44,97,3,5,3,7,2,3,5,0,7,2,1,2,1,13,2,12,11,13,32,32
389,1,8,1,2672679,1167071,88,10,98,2,4,2,0,8,3,8,0,6,2,2,1,2,13,8,22,13,32,2,2
390,1,18,3,2660307,1172007,29,0,1,3,4,3,2,1,5,6,1,3,1,2,2,1,22,9,2,1,1,11,13
391,1,6,1,2663249,1208043,20,88,12,1,1,1,6,7,1,6,9,9,3,1,1,1,1,5,2,22,11,3,13
392,1,9,1,2607044,1150394,16,5,45,4,4,2,1,8,1,4,1,1,3,2,1,2,13,2,3,11,22,12,32
393,1,12,2,2635288,1221735,28,24,66,2,2,1,3,9,7,7,4,8,2,2,1,2,22,2,22,13,11,2,1
394,1,4,3,2640851,1209680,17,0,61,3,3,2,4,1,0,4,0,4,1,2,1,2,3,9,32,1,2,3,22
395,2,1,3,2679729,1179926,62,0,53,4,-99,2,5,5,7,0,2,5,1,2,1,1,2,0,2,1,22,12,11
396,2,19,1,2634656,1175558,29,51,52,4,-99,3,5,5,8,9,2,1,2,1,2,1,13,6,1,32,13,22,11
397,1,11,2,2696960,1163194,20,70,7,1,3,1,8,4,3,0,6,2,2,1,1,2,2,4,13,13,22,3,12
398,1,13,1,2607824,1160916,56,29,46,2,4,2,6,5,6,3,0,6,1,2,1,1,3,6,2,13,13,3,1
399,1,15,3,2674027,1188415,82,0,4,1,3,1,0,6,1,9,0,4,3,2,2,1,22,2,3,12,13,22,1
400,1,8,2,2638040,1207825,78,77,90,4,2,2,2,2,5,3,4,4,2,1,1,2,32,1,22,13,13,13,3
401,1,14,1,2683892,1214438,47,79,64,1,5,2,4,7,7,9,6,8,3,2,1,2,11,2,12,13,13,3,2
402,2,10,2,2679643,1191234,44,36,99,1,1,3,4,4,2,5,2,7,3,2,1,1,12,8,32,13,2,3,12
403,1,1,3,2628994,1217130,53,0,69,1,1,3,3,7,3,5,1,1,2,2,2,2,3,3,3,2,13,1,12
404,1,16,1,2633184,1218344,29,89,8,1,1,2,8,0,4,0,2,4,1,2,1,2,13,7,3,3,32,3,32
405,1,9,3,2655190,1249606,16,0,66,4,3,3,1,6,9,3,7,8,1,2,2,1,32,4,12,11,2,11,32
406,1,7,3,2668990,1188869,30,0,50,2,2,1,9,0,1,5,4,0,1,1,2,1,12,1,11,1,13,2,1
407,2,18,2,2664487,1233155,31,84,43,1,2,2,2,5,4,2,0,3,1,2,1,2,3,5,11,1,12,3,3
408,2,11,2,2623197,1194814,31,47,96,4,2,3,9,1,3,2,2,0,1,2,1,1,3,0,32,2,3,12,11
409,2,12,3,2657649,1158986,55,0,88,1,5,3,0,5,0,1,3,1,2,1,1,1,2,7,1,3,32,11,12
410,1,11,2,2656387,1236087,67,97,68,4,3,3,9,2,0,5,5,9,1,1,1,1,12,5,11,2,32,2,11
411,1,2,2,2639221,1157310,51,32,99,1,-99,3,6,3,6,0,6,7,3,1,1,2,1,1,2,1,2,2,22
412,1,3,3,2636414,1233096,14,0,68,3,2,3,6,4,0,2,1,9,3,2,2,2,2,0,12,12,11,1,3
413,2,12,2,2698062,1170333,54,59,10,4,1,1,4,2,4,1,7,0,3,1,2,2,12,2,2,22,22,1,22
414,2,6,3,2600837,1196798,82,0,53,1,1,2,2,4,7,3,1,5,1,1,1,1,12,5,11,2,13,1,13
415,2,13,3,2644402,1225753,53,0,47,1,4,1,2,5,2,9,6,3,1,2,1,1,12,0,11,32,1,32,2
416,2,12,3,2683908,1193409,54,0,82,4,5,3,7,4,9,8,3,4,3,1,2,1,3,9,3,1,11,2,12
417,1,7,3,2670863,1217217,43,0,11,2,-99,1,8,3,3,3,6,1,3,2,1,1,22,9,12,22,13,1,11
418,1,10,2,2631856,1154276,69,99,95,4,4,3,4,9,1,3,8,5,2,2,1,1,11,2,1,22,11,1,11
419,2,9,1,2635872,1244352,30,99,86,4,1,2,8,5,0,0,6,2,2,1,2,1,3,3,32,22,2,32,11
420,1,17,3,2682901,1224585,73,0,45,2,2,3,6,2,2,3,8,1,1,1,2,1,32,6,2,1,22,12,2
421,1,18,2,2608615,1161615,45,36,84,2,5,1,2,5,5,6,7,6,1,1,2,2,32,3,1,11,32,3,3
422,1,7,1,2659505,1200534,41,96,5,4,-99,1,3,3,4,3,3,7,2,2,1,1,3,6,22,32,11,32,32
423,1,15,1,2617955,1215720,15,76,93,3,-99,2,7,4,9,9,6,9,2,2,2,1,13,5,1,22,3,11,32
424,2,5,2,2609140,1195662,55,72,65,4,-99,1,6,4,7,8,6,9,3,2,2,1,3,7,12,32,12,22,22
425,1,13,1,2666049,1158157,81,48,52,3,4,3,7,6,2,3,7,3,2,1,2,2,12,2,22,32,12,12,11
426,2,10,1,2620729,1248277,79,41,84,2,2,1,9,8,3,0,2,8,3,1,1,2,32,6,2,1,13,22,11
427,2,5,2,2608960,1206084,19,42,63,2,3,1,6,5,6,3,5,1,1,2,1,2,22,6,13,1,12,13,12
428,2,5,3,2637436,1239104,49,0,87,1,1,3,2,4,8,2,6,3,3,2,1,1,3,2,13,2,22,12,2
429,2,7,2,2639588,1169747,52,58,92,4,3,3,3,1,8,0,7,6,1,2,2,2,1,0,1,1,1,12,11
430,1,17,3,2659751,1177656,35,0,12,4,1,1,0,3,2,0,0,7,1,1,2,1,22,3,11,22,2,2,11
431,1,14,3,2632326,1173209,78,0,49,3,4,3,7,9,6,5,4,9,3,2,1,1,11,3,11,3,32,13,3
432,1,3,3,2658347,1152872,85,0,69,1,-99,2,6,3,7,4,1,6,2,2,2,2,12,8,22,32,22,13,11
433,1,11,1,2631760,1152998,23,14,10,4,5,3,2,2,0,0,7,4,1,2,1,1,22,6,1,11,13,32,13
434,2,2,2,2655409,1222258,41,38,68,1,-99,2,2,2,5,4,7,8,2,1,2,1,2,7,12,12,13,13,1
435,2,3,2,2614226,1185395,74,92,1,3,4,2,2,9,9,9,9,7,2,2,2,1,3,0,22,22,3,12,1
436,1,12,3,2603812,1163451,64,0,62,4,3,1,8,2,2,3,9,2,3,1,2,1,3,5,2,3,22,11,12
437,1,6,3,2632277,1177662,43,0,64,1,1,3,7,2,1,9,4,7,2,1,1,1,22,9,1,11,1,32,13
438,1,1,1,2636348,1237788,30,85,69,1,1,2,8,9,4,5,3,6,1,2,2,2,2,4,11,22,32,22,32
439,2,8,1,2660714,1248610,61,24,84,4,1,3,4,3,0,2,2,7,1,2,2,1,3,5,22,12,3,13,32
440,1,6,1,2692386,1208916,23,70,60,2,5,2,8,8,2,6,3,2,2,1,1,2,11,1,12,12,1,2,22
441,2,8,3,2699125,1187060,82,0,96,4,3,3,1,1,8,9,9,1,1,2,1,1,32,0,3,12,22,32,12
442,1,13,1,2682626,1176624,64,40,91,2,4,1,2,6,7,4,7,4,3,2,1,2,2,6,12,32,13,1,11
